APR_MDC_key,week_number,day_number,hospitalizations
00,40,6,1.0
00,40,7,3.0
00,41,1,6.5
00,41,2,5.5
00,41,3,6.5
00,41,4,4.0
00,41,5,2.5
00,41,6,2.0
00,41,7,1.5
00,42,1,7.0
00,42,2,6.5
00,42,3,6.0
00,42,4,7.0
00,42,5,2.0
00,42,6,1.0
00,42,7,1.0
00,43,1,7.0
00,43,2,3.5
00,43,3,6.5
00,43,4,4.0
00,43,5,3.0
00,43,6,1.5
00,43,7,2.0
00,44,1,5.0
00,44,2,3.5
00,44,3,9.0
00,44,4,4.5
00,44,5,2.0
00,44,6,2.0
00,44,7,1.0
00,45,1,4.0
00,45,2,5.5
00,45,3,5.5
00,45,4,6.5
00,45,5,2.0
00,45,6,2.0
00,45,7,2.0
00,46,1,3.5
00,46,2,6.5
00,46,3,6.5
00,46,4,5.0
00,46,5,2.5
00,46,6,2.0
00,46,7,1.0
00,47,1,5.0
00,47,2,5.5
00,47,3,4.0
00,47,4,4.0
00,47,5,2.0
00,47,6,4.0
00,47,7,4.0
00,48,1,5.0
00,48,2,3.0
00,48,3,6.5
00,48,4,3.5
00,48,5,1.5
00,48,6,1.5
00,48,7,2.0
00,49,1,5.0
00,49,2,6.5
00,49,3,9.5
00,49,4,5.5
00,49,5,2.0
00,49,6,1.5
00,49,7,2.0
00,50,1,5.0
00,50,2,3.0
00,50,3,6.5
00,50,4,4.5
00,50,5,3.0
00,50,6,1.0
00,50,7,2.0
00,51,1,4.0
00,51,2,4.0
00,51,3,7.0
00,51,4,5.0
00,51,5,2.5
00,51,6,1.0
00,51,7,4.0
00,52,1,2.0
00,52,2,3.0
00,52,3,3.0
00,52,4,2.0
00,52,5,2.5
00,52,6,1.0
00,52,7,1.0
00,53,6,1.0
00,53,7,2.0
01,1,1,15.0
01,1,2,16.0
01,1,3,21.0
01,1,4,17.0
01,1,5,11.5
01,1,6,6.0
01,1,7,6.5
01,2,1,18.5
01,2,2,19.0
01,2,3,17.5
01,2,4,14.0
01,2,5,13.5
01,2,6,5.0
01,2,7,5.5
01,3,1,16.5
01,3,2,19.5
01,3,3,16.0
01,3,4,14.5
01,3,5,12.0
01,3,6,6.5
01,3,7,6.5
01,4,1,19.0
01,4,2,21.0
01,4,3,17.5
01,4,4,16.5
01,4,5,9.5
01,4,6,4.5
01,4,7,5.0
01,5,1,22.5
01,5,2,20.5
01,5,3,16.0
01,5,4,14.0
01,5,5,12.5
01,5,6,7.5
01,5,7,10.0
01,6,1,22.5
01,6,2,22.0
01,6,3,14.5
01,6,4,10.0
01,6,5,8.0
01,6,6,6.0
01,6,7,6.0
01,7,1,17.5
01,7,2,16.5
01,7,3,20.0
01,7,4,10.5
01,7,5,9.5
01,7,6,4.5
01,7,7,9.0
01,8,1,20.5
01,8,2,17.5
01,8,3,19.0
01,8,4,16.5
01,8,5,14.5
01,8,6,6.0
01,8,7,8.0
01,9,1,21.5
01,9,2,25.0
01,9,3,19.0
01,9,4,12.5
01,9,5,12.5
01,9,6,5.0
01,9,7,9.5
01,10,1,22.5
01,10,2,17.5
01,10,3,17.5
01,10,4,18.0
01,10,5,13.5
01,10,6,8.0
01,10,7,10.5
01,11,1,21.5
01,11,2,20.0
01,11,3,16.5
01,11,4,13.5
01,11,5,10.0
01,11,6,3.0
01,11,7,8.5
01,12,1,17.0
