APR_MDC_key,intake_date,hospitalizations
00,2015-12-28,0.0
00,2015-12-29,0.0
00,2015-12-30,0.0
00,2015-12-31,0.0
00,2016-01-01,0.0
00,2016-01-02,0.1808588232541079
00,2016-01-03,0.467432966970356
00,2016-01-04,1.102267386573174
00,2016-01-05,2.101263121617051
00,2016-01-06,2.320859900070297
00,2016-01-07,2.7138053680802723
00,2016-01-08,2.6428223074612607
00,2016-01-09,2.4896638404338534
00,2016-01-10,2.4466149918442133
00,2016-01-11,2.6593674421807987
00,2016-01-12,2.924325123780901
00,2016-01-13,3.0816352952219295
00,2016-01-14,3.3663551639540037
00,2016-01-15,3.5503851323619684
00,2016-01-16,3.378546497635692
00,2016-01-17,3.3538937270888995
00,2016-01-18,3.3315684179324383
00,2016-01-19,3.3112665985294543
00,2016-01-20,3.411807498336388
00,2016-01-21,3.387928754854125
00,2016-01-22,3.3659875079056194
00,2016-01-23,3.1800281164949227
00,2016-01-24,3.116267609349269
00,2016-01-25,3.163024943911508
00,2016-01-26,3.310165488024072
00,2016-01-27,3.3452741402935833
00,2016-01-28,3.577959866803459
00,2016-01-29,3.647844256343058
00,2016-01-30,3.5681662867122435
00,2016-01-31,3.588726636661814
00,2016-02-01,3.56110581762345
00,2016-02-02,3.5814101798495805
00,2016-02-03,3.8287548074820954
00,2016-02-04,3.926608096314978
00,2016-02-05,3.8408334609999186
00,2016-02-06,3.715823432617849
00,2016-02-07,3.6411567320129534
00,2016-02-08,3.6566065782355675
00,2016-02-09,3.6712409762831224
00,2016-02-10,3.81172176284278
00,2016-02-11,3.86140190717011
00,2016-02-12,3.867144677994233
00,2016-02-13,3.7904433914048177
00,2016-02-14,3.6767562550231125
00,2016-02-15,3.608981645510813
00,2016-02-16,3.7048946589201215
00,2016-02-17,3.716646373232421
00,2016-02-18,3.886026880186673
00,2016-02-19,3.811946583718534
00,2016-02-20,3.7412350812139468
00,2016-02-21,3.7124875993774955
00,2016-02-22,3.9548840743206024
00,2016-02-23,4.2249308527160006
00,2016-02-24,4.254476271553383
00,2016-02-25,4.282744676567512
00,2016-02-26,4.234354461874554
00,2016-02-27,4.112941215668272
00,2016-02-28,4.033999401736847
00,2016-02-29,4.069925913695247
00,2016-03-01,4.030308794753217
00,2016-03-02,4.066062798507225
00,2016-03-03,4.173801493461496
00,2016-03-04,4.13086662781825
00,2016-03-05,3.9803399624590514
00,2016-03-06,3.8358262628847584
00,2016-03-07,3.8055864681980993
00,2016-03-08,3.7404820883184886
00,2016-03-09,3.821688392283288
00,2016-03-10,3.935556827216423
00,2016-03-11,3.8307042294700833
00,2016-03-12,3.765506011327305
00,2016-03-13,3.6672936405612213
00,2016-03-14,3.64366024639325
00,2016-03-15,3.6209236659071884
00,2016-03-16,3.6695147241603996
00,2016-03-17,3.7162792397262954
00,2016-03-18,3.621031129130542
00,2016-03-19,3.5293319173032844
00,2016-03-20,3.406125893178493
00,2016-03-21,3.4268136361913015
00,2016-03-22,3.516267949724353
00,2016-03-23,3.498355812911027
00,2016-03-24,3.481098082422006
00,2016-03-25,3.533599914049331
00,2016-03-26,3.41167561182006
00,2016-03-27,3.363050277314845
00,2016-03-28,3.350565669690963
00,2016-03-29,3.3385296561357536
00,2016-03-30,3.3954850520166855
00,2016-03-31,3.450406000686374
00,2016-04-01,3.469190965768941
00,2016-04-02,3.3507799408694017
00,2016-04-03,3.2706505112432547
00,2016-04-04,3.2273949231373766
00,2016-04-05,3.4236600636779335
00,2016-04-06,3.613022700105006
00,2016-04-07,3.490474389134079
00,2016-04-08,3.4738570379381617
00,2016-04-09,3.3901338960451013
00,2016-04-10,3.3431370125304003
00,2016-04-11,3.2977752684908492
00,2016-04-12,3.321468129210733
00,2016-04-13,3.4117549972852568
00,2016-04-14,3.431565082381914
00,2016-04-15,3.3833977083834346
00,2016-04-16,3.3032732404790384
00,2016-04-17,3.25949649926512
00,2016-04-18,3.3514757214516147
00,2016-04-19,3.339688326973052
00,2016-04-20,3.395328249595456
00,2016-04-21,3.4155771708635245
00,2016-04-22,3.4016702896455406
00,2016-04-23,3.2879137677126784
00,2016-04-24,3.211452834739415
00,2016-04-25,3.2377890256705095
00,2016-04-26,3.263230073877453
00,2016-04-27,3.28780742469128
00,2016-04-28,3.311551351949166
00,2016-04-29,3.267849422476349
00,2016-04-30,3.1923232080782498
00,2016-05-01,3.119349907437702
00,2016-05-02,3.082109995870464
00,2016-05-03,3.1791391531841673
00,2016-05-04,3.3061357541325207
00,2016-05-05,3.2627423766192165
00,2016-05-06,3.187600677826595
00,2016-05-07,3.114984900054701
00,2016-05-08,3.011627397504761
00,2016-05-09,2.9780740674679422
00,2016-05-10,3.210886380821446
00,2016-05-11,3.3364684016022848
00,2016-05-12,3.457845070719749
00,2016-05-13,3.4095617423009372
00,2016-05-14,3.3297844319626773
00,2016-05-15,3.219575260851288
00,2016-05-16,3.17922232530841
00,2016-05-17,3.140216308862785
00,2016-05-18,3.168647745747531
00,2016-05-19,3.2622489389995635
00,2016-05-20,3.1874819680773503
00,2016-05-21,3.1152050394975044
00,2016-05-22,3.045333990070222
00,2016-05-23,3.0438368515927756
00,2016-05-24,3.0754062849909234
00,2016-05-25,3.270972363109527
00,2016-05-26,3.4270390702420315
00,2016-05-27,3.346959482156021
00,2016-05-28,3.269538195858347
00,2016-05-29,3.1946859230233415
00,2016-05-30,3.1552913111435257
00,2016-05-31,3.282046248856687
00,2016-06-01,3.338674607445942
00,2016-06-02,3.4593404899074724
00,2016-06-03,3.543058482879751
00,2016-06-04,3.459275214535833
