APR_MDC_key,week_number,day_number,hospitalizations
00,1,1,2.8128739370899916
00,1,2,3.034689619639547
00,1,3,3.128189696321024
00,1,4,3.2377948711982265
00,1,5,3.2258752471394754
00,1,6,3.0695662824642342
00,1,7,3.0226863862981164
00,2,1,3.2437888958120515
00,2,2,3.508152913331675
00,2,3,3.598801757769598
00,2,4,3.7354522134551513
00,2,5,3.7430709580098664
00,2,6,3.5778207622184612
00,2,7,3.5219403564158247
00,3,1,3.5302327413033767
00,3,2,3.5629053379376385
00,3,3,3.617020050354289
00,3,4,3.669778961021522
00,3,5,3.6227314551830916
00,3,6,3.467899339437925
00,3,7,3.3914325294896424
00,4,1,3.4975036247708142
00,4,2,3.592814111751489
00,4,3,3.6879147773979435
00,4,4,3.7904647352775815
00,4,5,3.780091157173292
00,4,6,3.676241907185489
00,4,7,3.619726663835961
00,5,1,3.685407188226363
00,5,2,3.7991248416162566
00,5,3,3.966704074957785
00,5,4,4.167554235642681
00,5,5,4.11881644607418
00,5,6,3.9613336531962995
00,5,7,3.8503989739499183
00,6,1,3.8215906394346058
00,6,2,3.8551118840908085
00,6,3,3.9644312530463752
00,6,4,4.028620038852623
00,6,5,3.9906762216431835
00,6,6,3.842391237524474
00,6,7,3.737023751805712
00,7,1,3.723594064950236
00,7,2,3.788312090715336
00,7,3,3.8598601725871555
00,7,4,4.029160063060062
00,7,5,3.9406296808929495
00,7,6,3.8443998634402066
00,7,7,3.802592375794383
00,8,1,3.9266610131563624
00,8,2,4.105891101955864
00,8,3,4.223064912891482
00,8,4,4.249118209273544
00,8,5,4.162897921844358
00,8,6,4.018847523417714
00,8,7,3.931344755629884
00,9,1,3.959540911238379
00,9,2,3.924357628114403
00,9,3,4.026026798161476
00,9,4,4.099191177733793
00,9,5,4.045028021156804
00,9,6,3.882605740278622
00,9,7,3.7404674031455953
00,10,1,3.716249184729443
00,10,2,3.741679187124113
00,10,3,3.9257652419304074
00,10,4,3.9669605335511884
00,10,5,3.894532983829043
00,10,6,3.777221383628776
00,10,7,3.7020018541836577
00,11,1,3.7041958242866375
00,11,2,3.718492198656644
00,11,3,3.8179246184476154
00,11,4,3.8514986664132373
00,11,5,3.7972185331824932
