APR_MDC_key,date,median,mean,std,q0.025,q0.975
00,2020-01-01,0.3488372093023256,0.34869647377728136,0.033754263335782464,0.2926829268292683,0.4348619485877499
00,2020-01-02,0.4519774011299435,0.4574467250249031,0.045550526058132576,0.3864734299516908,0.541013041013041
00,2020-01-03,0.4191616766467066,0.4189864829323685,0.042694518857352745,0.33816425120772947,0.5072463768115941
00,2020-01-04,0.3225806451612903,0.33794413133407436,0.038312816723625014,0.2702702702702703,0.4013636363636367
00,2020-01-05,0.37543099431553445,0.3700350405282387,0.04542710590382567,0.3050410189982729,0.47039473684210537
00,2020-01-06,0.3005464480874317,0.3039071275715319,0.030047205393381436,0.2546296296296296,0.3595961563433321
00,2020-01-07,0.3140096618357488,0.3180741117535593,0.02770612128325894,0.2742616033755274,0.38011695906432746
00,2020-01-08,0.41884816753926696,0.42379426673744314,0.035460956388656,0.37200728753616974,0.49689440993788814
00,2020-01-09,0.2631578947368421,0.2649449098655876,0.027204092336325123,0.22522522522522523,0.3333333333333333
00,2020-01-10,0.30386740331491713,0.30662770286198865,0.029440436070133302,0.25457122833843016,0.3741496598639456
00,2020-01-11,0.3548387096774194,0.36180315718547545,0.04692816512709267,0.298793158567775,0.48672566371681414
00,2020-01-12,0.40268456375838924,0.39810085483278845,0.044999125905017395,0.33510293527578017,0.49629158720067823
00,2020-01-13,0.44910179640718567,0.45188963786111414,0.04311109252850989,0.3807106598984772,0.5399680255795365
00,2020-01-14,0.49723756906077343,0.5031947604453861,0.05430165825272117,0.4164772727272727,0.6260416666666669
00,2020-01-15,0.6111111111111112,0.6236394493585165,0.06690001382737688,0.5288461538461539,0.7801418439716312
00,2020-01-16,0.541314935064935,0.546628512000328,0.042542522486534826,0.4797979797979798,0.6295670586115242
00,2020-01-17,0.5828220858895705,0.5786122618225586,0.06039423735370838,0.47246305238513314,0.6737588652482269
00,2020-01-18,0.5902777777777778,0.58681392285321,0.06432751622152572,0.4695487523526197,0.6967213114754098
00,2020-01-19,0.6093268242548817,0.6088309169669573,0.07322927748586881,0.48009184736293914,0.7798165137614679
00,2020-01-20,0.5120481927710843,0.5155693833896219,0.04282475874302469,0.4380325583841785,0.6071428571428571
00,2020-01-21,0.5307262569832403,0.5385956081982114,0.056417157753481134,0.4418604651162791,0.6643356643356643
00,2020-01-22,0.5080213903743316,0.5170620185207843,0.050629349208590996,0.45023696682464454,0.6378007578870475
00,2020-01-23,0.3906355966687464,0.39631438853540657,0.03382033282828996,0.3348214285714286,0.4601937059759145
00,2020-01-24,0.42857142857142855,0.4252749228563292,0.04321464483850327,0.35353016271421156,0.5396660932123866
00,2020-01-25,0.49019607843137253,0.4952470151355777,0.05411179926533527,0.4096169019023407,0.6200951454962151
00,2020-01-26,0.5079416270257195,0.5116893492777883,0.046126397967857787,0.4370990734141126,0.6201550387596899
00,2020-01-27,0.5494505494505495,0.5537693177215025,0.036905250342155936,0.494750562012723,0.6179808841099166
00,2020-01-28,0.49222797927461137,0.4874797584197312,0.022659366823449725,0.4481132075471698,0.521978021978022
00,2020-01-29,0.5198019801980198,0.5193732827935469,0.030214144056272707,0.4625550660792952,0.5737704918032787
00,2020-01-30,0.42056074766355145,0.4240603061113585,0.025496509909642907,0.38461538461538464,0.4761904761904762
00,2020-01-31,0.425,0.4329817624603538,0.027889212497502813,0.39512420718816066,0.4857142857142857
00,2020-02-01,0.4320987654320988,0.43335685086838566,0.022105120848147954,0.39994318181818184,0.4827586206896552
00,2020-02-02,0.37267080745341613,0.377124131513716,0.018485604931392147,0.3488372093023256,0.4138649425287356
00,2020-02-03,0.38461538461538464,0.38494532935378034,0.012623793188075456,0.3611111111111111,0.4113924050632911
00,2020-02-04,0.4748603351955308,0.4751066796363906,0.018377608758197005,0.44265098769430056,0.5122837977677581
00,2020-02-05,0.40106951871657753,0.4012601688651853,0.012767820650401565,0.3767906697667442,0.42857142857142855
00,2020-02-06,0.3888888888888889,0.38777237689775423,0.011042669136290829,0.36649214659685864,0.4069767441860465
00,2020-02-07,0.3977272727272727,0.3972357229330124,0.007796400726081111,0.3825136612021858,0.4142011834319527
00,2020-02-08,0.43046357615894043,0.43296743894281453,0.0073905794010953796,0.42200984499371597,0.4482758620689655
00,2020-02-09,0.40268456375838924,0.4031514019574457,0.01810285772037443,0.36809815950920244,0.4411764705882353
00,2020-02-10,0.4320987654320988,0.4347294087395175,0.01707152427803601,0.404566141784599,0.4697986577181208
00,2020-02-11,0.40462427745664736,0.4071065269548766,0.015704056111221245,0.3888888888888889,0.44025157232704404
00,2020-02-12,0.38011695906432746,0.37938405995307783,0.020690513535297682,0.3456989474276708,0.4196325571459091
00,2020-02-13,0.3611111111111111,0.3625036590131879,0.012110228897167669,0.34210526315789475,0.38696268177929855
00,2020-02-14,0.34591194968553457,0.3460108857114119,0.011669738041663425,0.3254437869822486,0.3716216216216216
00,2020-02-15,0.31446540880503143,0.31534773175791564,0.012090545669205411,0.2873563218390805,0.3356271539996373
00,2020-02-16,0.3067484662576687,0.30975571931123175,0.01202105439520616,0.2906556660841511,0.33783783783783783
00,2020-02-17,0.32608695652173914,0.3258736739156097,0.011372648335134255,0.3044543147208122,0.3488372093023256
00,2020-02-18,0.3186274509803922,0.3192363929649865,0.015526850021795107,0.29275996848866803,0.34768752709929185
00,2020-02-19,0.30150753768844224,0.302425500956702,0.010581233860512703,0.28432665653223643,0.32786885245901637
00,2020-02-20,0.38461538461538464,0.39255268629737927,0.033755512780158994,0.34653465346534656,0.47961853120243536
